Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19,20",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,53,91,108,168,192,215,263,312.2,344.59,402.59"
1,2,1,3,"1, 2, 6, 7, 9,10,11,13,16,17,18","3, 4, 5, 8,12,14,15,19,20",1650,1350,100,76.118,1550,1273.882,3000,2823.882,1411.941,11,9,"0,97,126,143,185,252.1,311.7,349.9,399.1,425.9,452,500","0,67,109,176,200,223,271,320.2,352.59,380.59"
1,3,1,4,"1, 2, 3, 5, 6, 7,10,12,14,15,19,20","4, 8, 9,11,13,16,17,18",1800,1200,115.118,65.96,1684.882,1134.04,3000,2818.922,1409.461,12,8,"0,97,150,201,235,252,279,344,367,415,464.2,496.59,575.59","0,54,132,152.5,190.7,239.9,266.7,292.8,329.8"
1,4,1,5,"1, 2, 3, 4, 8, 9,11,13,14,15,19,20","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3"
1,5,1,6,"1, 2, 3, 4, 5, 9,12,14,15,19,20","6, 7, 8,10,11,13,16,17,18",1650,1350,111.518,79.08,1538.482,1270.92,3000,2809.402,1404.701,11,9,"0,97,150,217,259,271,326,349,397,446.2,478.59,557.59","0,17,77,149.5,209.1,247.3,296.5,323.3,349.4,395.4"
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,11,13,16,17,18","7, 8,10,12,14,15,19,20",1800,1200,106.36,78.018,1693.64,1121.982,3000,2815.622,1407.811,12,8,"0,97,150,217,259,293,323,343.5,381.7,430.9,457.7,483.8,531.8","0,60,132.5,197.5,220.5,268.5,317.7,350.09,390.09"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,11,13,18","8,10,12,14,15,16,17,19,20",1650,1350,96.42,92.118,1553.58,1257.882,3000,2811.462,1405.731,11,9,"0,97,150,217,259,293,310,352,372.5,410.7,434.1,482.1","0,72.5,137.5,160.5,208.5,283.3,310.1,371.2,403.59,460.59"
1,8,1,9,"1, 4, 5, 8,10,11,13,16,17,18","9, 2, 3, 6, 7,12,14,15,19,20",1500,1500,90.08,88.518,1409.92,1411.482,3000,2821.402,1410.701,10,10,"0,21,63,130,202.5,262.1,300.3,349.5,376.3,402.4,450.4","0,56,109,147,164,209,232,280,329.2,361.59,442.59"
1,9,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18,19,20","10,12,14,15",2400,600,161.438,35.84,2238.562,564.16,3000,2802.722,1401.361,16,4,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,695.8,728.19,807.19","0,65,88,136,179.2"
1,10,1,11,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,13,16,17,18","11,12,14,15,19,20",2100,900,151.44,59.998,1948.56,840.002,3000,2788.562,1394.281,14,6,"0,97,150,217,259,293,310,370,448,515.1,607.1,656.3,683.1,709.2,757.2","0,68,91,139,188.2,220.59,299.99"
1,11,1,12,"1, 4, 5, 9,10,11,14,15,20","12, 2, 3, 6, 7, 8,13,16,17,18,19",1350,1650,79.946,121.48,1270.054,1528.52,3000,2798.574,1399.287,9,11,"0,21,63,75,142.1,201.7,255.7,303.7,320.73,399.73","0,80,133,171,188,248,343.3,392.5,419.3,445.4,532.4,607.4"
1,12,1,13,"1, 4, 5, 6, 7,10,12,14,16,17,18","13, 2, 3, 8, 9,11,15,19,20",1650,1350,71.48,110.418,1578.52,1239.582,3000,2818.102,1409.051,11,9,"0,21,63,97,114,141,206,229,256.5,283.3,309.4,357.4","0,78,131,173,251,271.5,364.5,413.7,446.09,552.09"
1,13,1,14,"1, 4, 5, 9,10,11,13,16","14, 2, 3, 6, 7, 8,12,15,17,18,19,20",1200,1800,63.42,115.058,1136.58,1684.942,3000,2821.522,1410.761,8,12,"0,21,63,75,142.1,201.7,239.9,289.1,317.1","0,58,111,149,166,226,250,310,387.8,413.9,500.9,533.29,575.29"
1,14,1,15,"1, 4, 5, 6, 7, 9,11,13,16,17,18","15, 2, 3, 8,10,12,14,19,20",1650,1350,72.96,86.458,1577.04,1263.542,3000,2840.582,1420.291,11,9,"0,21,63,97,114,156,176.5,214.7,263.9,290.7,316.8,364.8","0,75,128,170,242.5,307.5,330.5,382.9,415.29,432.29"
1,15,1,16,"1, 4, 5, 7, 8,12,14,15,20","16, 2, 3, 6, 9,10,11,13,17,18,19",1350,1650,71.006,117.22,1278.994,1532.78,3000,2811.774,1405.887,9,11,"0,21,63,104,164,188,211,259,276.03,355.03","0,72,125,163,193,260.1,319.7,357.9,397.3,423.4,510.4,586.1"
1,16,1,17,"1, 4, 5, 6, 7,10,12","17, 2, 3, 8, 9,11,13,14,15,16,18,19,20",1050,1950,45.4,183.898,1004.6,1766.102,3000,2770.702,1385.351,7,13,"0,21,63,97,114,141,206,227","0,49,102,144,222,242.5,280.7,349.7,397.7,472.5,733.5,820.5,852.89,919.49"
1,17,1,18,"1, 4, 5, 9,11,13,15,20","18, 2, 3, 6, 7, 8,10,12,14,16,17,19",1200,1800,69.346,120.98,1130.654,1679.02,3000,2809.674,1404.837,8,12,"0,21,63,75,95.5,133.7,250.7,267.73,346.73","0,74,127,165,182,242,314.5,379.5,402.5,430,456.8,517.9,604.9"
1,18,1,19,"1, 4, 5, 9,11,13,16,17,18","19, 2, 3, 6, 7, 8,10,12,14,15,20",1350,1650,56.76,91.186,1293.24,1558.814,3000,2852.054,1426.027,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,30,83,121,138,198,270.5,335.5,358.5,406.5,423.53,455.93"
1,19,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
1,20,2,1,"2, 3, 6, 7, 8,12,14,15,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,80.518,78,1419.482,1422,3000,2841.482,1420.741,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,21,2,3,"2, 5, 6, 7, 9,10,11,13,14,15,19,20","3, 1, 4, 8,12,16,17,18",1800,1200,115.298,58.26,1684.702,1141.74,3000,2826.442,1413.221,12,8,"0,62,96,113,155,222.1,281.7,319.9,388.9,436.9,486.1,518.49,576.49","0,55,76,130,154,176.4,203.2,229.3,291.3"
1,22,2,4,"2, 3, 6, 7, 8,10,12,14,15,19,20","4, 1, 5, 9,11,13,16,17,18",1650,1350,103.218,55.96,1546.782,1294.04,3000,2840.822,1420.411,11,9,"0,53,91,108,168,240.5,305.5,328.5,376.5,425.7,458.09,516.09","0,21,70,82,102.5,140.7,189.9,216.7,242.8,279.8"
1,23,2,5,"2, 3, 6, 7, 8,10,12,14,15,19,20","5, 1, 4, 9,11,13,16,17,18",1650,1350,103.218,59.36,1546.782,1290.64,3000,2837.422,1418.711,11,9,"0,53,91,108,168,240.5,305.5,328.5,376.5,425.7,458.09,516.09","0,49,70,124,144.5,182.7,231.9,258.7,284.8,296.8"
1,24,2,6,"2, 3, 8,10,12,14,15,19,20","6, 1, 4, 5, 7, 9,11,13,16,17,18",1350,1650,88.618,84.56,1261.382,1565.44,3000,2826.822,1413.411,9,11,"0,53,95,167.5,232.5,255.5,303.5,352.7,385.09,443.09","0,70,91,133,174,216,236.5,274.7,323.9,350.7,376.8,422.8"
1,25,2,7,"2, 3, 8,10,12,14,15,19,20","7, 1, 4, 5, 6, 9,11,13,16,17,18",1350,1650,88.618,80.56,1261.382,1569.44,3000,2830.822,1415.411,9,11,"0,53,95,167.5,232.5,255.5,303.5,352.7,385.09,443.09","0,63,84,126,160,190,210.5,248.7,297.9,324.7,350.8,402.8"
