Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 6, 7, 9,10,11,13,18","2, 3, 8,12,14,15,16,17,19,20",1500,1500,78.46,88.618,1421.54,1411.382,3000,2832.922,1416.461,10,10,"0,21,63,97,114,156,223.1,282.7,320.9,344.3,392.3","0,53,95,119,142,190,264.8,291.6,352.7,385.09,443.09"
1,2,1,3,"1, 2, 5, 6, 7, 9,10,11,13,16,17,18","3, 4, 8,12,14,15,19,20",1800,1200,113.4,65.118,1686.6,1134.882,3000,2821.482,1410.741,12,8,"0,97,159,193,210,252,319.1,378.7,416.9,466.1,492.9,519,567","0,67,121,145,168,216,265.2,297.59,325.59"
1,3,1,4,"1, 2, 3, 6, 7, 8,10,12,14,15,19,20","4, 5, 9,11,13,16,17,18",1800,1200,126.818,50.36,1673.182,1149.64,3000,2822.822,1411.411,12,8,"0,97,150,188,205,265,337.5,402.5,425.5,473.5,522.7,555.09,634.09","0,42,54,74.5,112.7,161.9,188.7,214.8,251.8"
1,4,1,5,"1, 2, 3, 4, 9,10,11,13,15,19,20","5, 6, 7, 8,12,14,16,17,18",1650,1350,142.698,50.08,1507.302,1299.92,3000,2807.222,1403.611,11,9,"0,97,150,217,271,338.1,397.7,435.9,552.9,602.1,634.49,713.49","0,34,51,111,135,158,185.5,212.3,238.4,250.4"
1,5,1,6,"1, 2, 3, 4, 5, 9,10,11,13,14,15,19,20","6, 7, 8,12,16,17,18",1950,1050,142.698,44.46,1807.302,1005.54,3000,2812.842,1406.421,13,7,"0,97,150,217,259,271,338.1,397.7,435.9,504.9,552.9,602.1,634.49,713.49","0,17,77,101,123.4,150.2,176.3,222.3"
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,10,11,13,14,15,19,20","7, 8,12,16,17,18",2100,900,153.098,42.26,1946.902,857.74,3000,2804.642,1402.321,14,6,"0,97,150,217,259,293,323,390.1,449.7,487.9,556.9,604.9,654.1,686.49,765.49","0,60,84,106.4,133.2,159.3,211.3"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,10,11,13,16,17,18,19,20","8,12,14,15",2400,600,163.478,29.4,2236.522,570.6,3000,2807.122,1403.561,16,4,"0,97,150,217,259,293,310,352,419.1,478.7,516.9,566.1,592.9,619,706,738.39,817.39","0,24,47,95,147"
1,8,1,9,"1, 4, 8,12,16,17,18","9, 2, 3, 5, 6, 7,10,11,13,14,15,19,20",1050,1950,44.46,123.078,1005.54,1826.922,3000,2832.462,1416.231,7,13,"0,21,75,99,121.4,148.2,174.3,222.3","0,56,109,160,194,211,238,297.6,335.8,404.8,452.8,502,534.39,615.39"
1,9,1,10,"1, 4, 5, 6, 7, 9,11,13,16,17,18","10, 2, 3, 8,12,14,15,19,20",1650,1350,72.96,65.958,1577.04,1284.042,3000,2861.082,1430.541,11,9,"0,21,63,97,114,156,176.5,214.7,263.9,290.7,316.8,364.8","0,32,85,127,151,174,222,271.2,303.59,329.79"
1,10,1,11,"1, 2, 6, 7, 8,12,16,17,18","11, 3, 4, 5, 9,10,13,14,15,19,20",1350,1650,70.06,123.618,1279.94,1526.382,3000,2806.322,1403.161,9,11,"0,97,126,143,203,227,249.4,276.2,302.3,350.3","0,60,127,169,181,248.1,340.1,409.1,457.1,506.3,538.69,618.09"
1,11,1,12,"1, 4, 5, 9,11,13,16,17,18","12, 2, 3, 6, 7, 8,10,14,15,19,20",1350,1650,56.76,110.218,1293.24,1539.782,3000,2833.022,1416.511,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,80,133,171,188,248,320.5,362.5,410.5,459.7,492.09,551.09"
1,12,1,13,"1, 4, 5, 6,10,12,14,15,16,17,19,20","13, 2, 3, 7, 8, 9,11,18",1800,1200,109.018,74.72,1690.982,1125.28,3000,2816.262,1408.131,12,8,"0,21,63,97,135,200,223,271,345.8,372.6,433.7,466.09,545.09","0,78,131,152,212,290,310.5,350.2,373.6"
1,13,1,14,"1, 4, 5, 9,11,13,16,17,18","14, 2, 3, 6, 7, 8,10,12,15,19,20",1350,1650,56.76,109.418,1293.24,1540.582,3000,2833.822,1416.911,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,58,111,149,166,226,298.5,363.5,423.5,472.7,505.09,547.09"
1,14,1,15,"1, 2, 6, 7, 8,10,11,13,16,17,18","15, 3, 4, 5, 9,12,14,19,20",1650,1350,104.68,67.358,1545.32,1282.642,3000,2827.962,1413.981,11,9,"0,97,126,143,203,275.5,335.1,373.3,422.5,449.3,475.4,523.4","0,36,103,145,157,212,235,287.4,319.79,336.79"
1,15,1,16,"1, 4, 5, 6, 7, 9,10,11,13,18","16, 2, 3, 8,12,14,15,17,19,20",1500,1500,78.46,100.478,1421.54,1399.522,3000,2821.062,1410.531,10,10,"0,21,63,97,114,156,223.1,282.7,320.9,344.3,392.3","0,72,125,167,191,214,262,339.8,400.9,433.29,502.39"
1,16,1,17,"1, 4, 5, 6, 7,10,12","17, 2, 3, 8, 9,11,13,14,15,16,18,19,20",1050,1950,45.4,183.898,1004.6,1766.102,3000,2770.702,1385.351,7,13,"0,21,63,97,114,141,206,227","0,49,102,144,222,242.5,280.7,349.7,397.7,472.5,733.5,820.5,852.89,919.49"
1,17,1,18,"1, 4, 5, 6, 7, 8,12,14,15,16","18, 2, 3, 9,10,11,13,17,19,20",1500,1500,74.36,114.118,1425.64,1385.882,3000,2811.522,1405.761,10,10,"0,21,63,97,114,174,198,221,269,343.8,371.8","0,74,127,184,251.1,310.7,348.9,388.3,449.4,481.79,570.59"
1,18,1,19,"1, 4, 8, 9,11,13,16,17,18","19, 2, 3, 5, 6, 7,10,12,14,15,20",1350,1650,72.36,79.486,1277.64,1570.514,3000,2848.154,1424.077,9,11,"0,21,75,153,173.5,211.7,260.9,287.7,313.8,361.8","0,30,83,134,168,185,212,277,300,348,365.03,397.43"
1,19,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
1,20,2,1,"2, 3, 6, 7, 8,12,14,15,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,80.518,78,1419.482,1422,3000,2841.482,1420.741,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,21,2,3,"2, 7, 8,12,14,15,19,20","3, 1, 4, 5, 6, 9,10,11,13,16,17,18",1200,1800,65.918,102.2,1134.082,1697.8,3000,2831.882,1415.941,8,12,"0,35,95,119,142,190,239.2,271.59,329.59","0,55,76,118,152,182,249.1,308.7,346.9,396.1,422.9,449,511"
1,22,2,4,"2, 3, 8,12,14,15,19,20","4, 1, 5, 6, 7, 9,10,11,13,16,17,18",1200,1800,65.918,93.4,1134.082,1706.6,3000,2840.682,1420.341,8,12,"0,53,95,119,142,190,239.2,271.59,329.59","0,21,70,104,121,163,230.1,289.7,327.9,377.1,403.9,430,467"
1,23,2,5,"2, 3, 9,10,11,13,14,15,19,20","5, 1, 4, 6, 7, 8,12,16,17,18",1500,1500,106.298,66.06,1393.702,1433.94,3000,2827.642,1413.821,10,10,"0,53,110,177.1,236.7,274.9,343.9,391.9,441.1,473.49,531.49","0,49,70,142,159,219,243,265.4,292.2,318.3,330.3"
1,24,2,6,"2, 3, 8, 9,11,13,14,15,19,20","6, 1, 4, 5, 7,10,12,16,17,18",1500,1500,97.658,77.46,1402.342,1422.54,3000,2824.882,1412.441,10,10,"0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29","0,70,91,133,174,201,266,288.4,315.2,341.3,387.3"
1,25,2,7,"2, 3, 8, 9,11,13,16,17,18,19","7, 1, 4, 5, 6,10,12,14,15,20",1500,1500,90.16,78.206,1409.84,1421.794,3000,2831.634,1415.817,10,10,"0,53,95,173,193.5,231.7,280.9,307.7,333.8,420.8,450.8","0,63,84,126,160,198,263,286,334,351.03,391.03"
1,26,2,8,"2, 3, 6, 7,10,12,14,15,19,20","8, 1, 4, 5, 9,11,13,16,17,18",1500,1500,82.118,68.16,1417.882,1431.84,3000,2849.722,1424.861,10,10,"0,53,91,108,135,200,223,271,320.2,352.59,410.59","0,33,54,96,108,128.5,166.7,215.9,242.7,268.8,340.8"
1,27,2,9,"2, 3, 6, 7, 8,12,14,15,19,20","9, 1, 4, 5,10,11,13,16,17,18",1500,1500,80.518,82.08,1419.482,1417.92,3000,2837.402,1418.701,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,61,82,124,191.5,251.1,289.3,338.5,365.3,391.4,410.4"
1,28,2,10,"2, 3, 6, 7, 8,12,14,15,19","10, 1, 4, 5, 9,11,13,16,17,18,20",1350,1650,68.44,87.154,1281.56,1562.846,3000,2844.406,1422.203,9,11,"0,53,91,108,168,192,215,263,312.2,342.2","0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,409.57,435.77"
1,29,2,11,"2, 3, 8, 9,13,14,15,19,20","11, 1, 4, 5, 6, 7,10,12,16,17,18",1350,1650,90.938,79.8,1259.062,1570.2,3000,2829.262,1414.631,9,11,"0,53,95,173,198.1,267.1,315.1,364.3,396.69,454.69","0,78,99,141,175,192,219,284,306.4,333.2,359.3,399"
1,30,2,12,"2, 3, 8, 9,11,13,18,19,20","12, 1, 4, 5, 6, 7,10,14,15,16,17",1350,1650,86.498,79.52,1263.502,1570.48,3000,2833.982,1416.991,9,11,"0,53,95,173,193.5,231.7,255.1,342.1,374.49,432.49","0,21,42,84,118,135,162,204,252,326.8,353.6,397.6"
1,31,2,13,"2, 3, 6, 7, 8,12,14,15,16,17,19,20","13, 1, 4, 5, 9,10,11,18",1800,1200,103.218,67.16,1696.782,1132.84,3000,2829.622,1414.811,12,8,"0,53,91,108,168,192,215,263,337.8,364.6,425.7,458.09,516.09","0,71,92,134,146,213.1,272.7,312.4,335.8"
1,32,2,14,"2, 3, 5, 6, 7, 9,10,11,13,16,17,18,19","14, 1, 4, 8,12,15,20",1950,1050,116.2,52.206,1833.8,997.794,3000,2831.594,1415.797,13,7,"0,53,104,138,155,197,264.1,323.7,361.9,411.1,437.9,464,551,581","0,43,64,118,142,202,219.03,261.03"
1,33,2,15,"2, 3, 9,10,11,13,16,17,18,19","15, 1, 4, 5, 6, 7, 8,12,14,20",1500,1500,98.8,71.718,1401.2,1428.282,3000,2829.482,1414.741,10,10,"0,53,110,177.1,236.7,274.9,324.1,350.9,377,464,494","0,79,100,142,176,193,253,277,300,341.59,358.59"
1,34,2,16,"2, 3, 6, 7, 8,12,17,18,19,20","16, 1, 4, 5, 9,10,11,13,14,15",1500,1500,87.898,91.94,1412.102,1408.06,3000,2820.162,1410.081,10,10,"0,53,91,108,168,192,236,262.1,349.1,381.49,439.49","0,28,49,91,103,170.1,229.7,267.9,336.9,384.9,459.7"
1,35,2,17,"2, 3, 8,12,14,15,19,20","17, 1, 4, 5, 6, 7, 9,10,11,13,16,18",1200,1800,65.918,142.44,1134.082,1657.56,3000,2791.642,1395.821,8,12,"0,53,95,119,142,190,239.2,271.59,329.59","0,55,76,118,152,169,211,278.1,337.7,375.9,425.1,686.1,712.2"
