Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 9,12,14,15,16","2, 3, 6, 7, 8,10,11,13,17,18,19,20",1200,1800,60.76,116.238,1139.24,1683.762,3000,2823.002,1411.501,8,12,"0,21,63,75,130,153,201,275.8,303.8","0,53,91,108,168,240.5,300.1,338.3,377.7,403.8,490.8,523.19,581.19"
1,2,1,3,"1, 2, 6, 7, 8,12,14,15,19,20","3, 4, 5, 9,10,11,13,16,17,18",1500,1500,91.718,90,1408.282,1410,3000,2818.282,1409.141,10,10,"0,97,126,143,203,227,250,298,347.2,379.59,458.59","0,67,109,121,188.1,247.7,285.9,335.1,361.9,388,450"
1,3,1,4,"1, 2, 3, 8,12,14,15,19,20","4, 5, 6, 7, 9,10,11,13,16,17,18",1350,1650,89.518,87.8,1260.482,1562.2,3000,2822.682,1411.341,9,11,"0,97,150,192,216,239,287,336.2,368.59,447.59","0,42,76,93,135,202.1,261.7,299.9,349.1,375.9,402,439"
1,4,1,5,"1, 2, 3, 4, 8, 9,11,13,16,17,18","5, 6, 7,10,12,14,15,19,20",1650,1350,111.56,74.718,1538.44,1275.282,3000,2813.722,1406.861,11,9,"0,97,150,217,271,349,369.5,407.7,456.9,483.7,509.8,557.8","0,34,51,78,143,166,214,263.2,295.59,373.59"
1,5,1,6,"1, 2, 3, 4, 5, 9,10,11,13,14,16,17,18","6, 7, 8,12,15,19,20",1950,1050,126.66,59.918,1823.34,990.082,3000,2813.422,1406.711,13,7,"0,97,150,217,259,271,338.1,397.7,435.9,504.9,532.4,559.2,585.3,633.3","0,17,77,101,161,210.2,242.59,299.59"
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,12,16,17,18","7, 8,10,11,13,14,15,19,20",1650,1350,100.26,93.778,1549.74,1256.222,3000,2805.962,1402.981,11,9,"0,97,150,217,259,293,323,378,400.4,427.2,453.3,501.3","0,60,132.5,192.1,230.3,299.3,347.3,396.5,428.89,468.89"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,10,11,13,14,15,19,20","8,12,16,17,18",2250,750,158.898,34.26,2091.102,715.74,3000,2806.842,1403.421,15,5,"0,97,150,217,259,293,310,352,419.1,478.7,516.9,585.9,633.9,683.1,715.49,794.49","0,24,46.4,73.2,99.3,171.3"
1,8,1,9,"1, 4, 5, 6, 7,11,13,16,17,18","9, 2, 3, 8,10,12,14,15,19,20",1500,1500,68.4,104.418,1431.6,1395.582,3000,2827.182,1413.591,10,10,"0,21,63,97,114,153.7,191.9,241.1,267.9,294,342","0,56,109,151,223.5,288.5,311.5,359.5,408.7,441.09,522.09"
1,9,1,10,"1, 4, 5, 6, 7, 8,12,16,17,18","10, 2, 3, 9,11,13,14,15,19,20",1500,1500,64.26,85.098,1435.74,1414.902,3000,2850.642,1425.321,10,10,"0,21,63,97,114,174,198,220.4,247.2,273.3,321.3","0,32,85,142,162.5,200.7,269.7,317.7,366.9,399.29,425.49"
1,10,1,11,"1, 4, 5, 6, 7, 8,10,12,16,17,18","11, 2, 3, 9,13,14,15,19,20",1650,1350,86.96,90.618,1563.04,1259.382,3000,2822.422,1411.211,11,9,"0,21,63,97,114,174,246.5,311.5,333.9,360.7,386.8,434.8","0,40,93,150,175.1,244.1,292.1,341.3,373.69,453.09"
